B0,iter,constr,init_stat,sample_stat,init_unsat,sample_unsat,min_unsat,runtime
0.9999,1.0,0.0,17.0,6.458,0.0,55.136,0.059683084,2.605067014694214
0.99,9.0,152.0,17.0,9.983,0.0,35.347,0.1966962963342666,29.33688497543335
0.98,13.0,232.0,18.0,11.874,0.0,32.976,0.3151826858520508,51.53869700431824
0.97,10.0,280.0,18.0,12.851,0.0,25.927,0.4713813364505768,40.73831796646118
0.96,12.0,334.0,18.0,13.995,0.0,18.735,0.558609128,54.49937915802002
0.95,17.0,387.0,20.0,16.794,0.0,12.631,0.6742258667945862,84.65916395187378
0.94,27.0,736.0,22.0,18.422,0.0,9.493,0.7637427290875249,199.50377893447876
0.93,34.0,886.0,23.0,19.328,0.0,6.442,0.8171386596853712,278.1326048374176
0.92,153.0,2312.0,25.0,21.415,1.0,3.455,0.0,2562.4585547447205
1.0,1.0,0.0,17.0,6.458,0.0,55.136,0.059683084,2.6554722785949707
