GEOID,x,y,Pop,NumEVs,Initially feas,Finally feas
261635170002001,-83.03721776212059,42.34413327237557,9,0.12,1,0.19669629633426666
261635170002004,-83.03883551714925,42.34098847520104,57,1.104,1,0.19669629633426666
261635170002006,-83.03593841474635,42.33943302599314,708,18.251,1,0.19669629633426666
261635171001006,-83.03605607047466,42.3349790109466,231,5.555,1,0.34143889000000005
261635171001007,-83.03688577517737,42.33475358039013,12,0.18,1,0.34143889000000005
261635172001023,-83.05043813315618,42.337611204389574,10,0.15,1,0.7058419585227966
261635172001026,-83.04558818778654,42.336357156634406,4,0.173,1,0.18528534471988667
261635172001027,-83.04624053939055,42.33626312211699,6,0.09,1,0.18528534471988667
261635172001031,-83.0471118662671,42.33656210130665,79,2.242,1,0.18528534471988667
261635172001034,-83.0406537354356,42.33705120811248,54,0.75,1,0.8199619650840759
261635172001035,-83.04246760970119,42.336275604441695,302,4.17,1,0.8533203744461639
261635172001036,-83.04329677716,42.33686683982652,268,3.69,1,0.8533203744461639
261635172001038,-83.04460639806958,42.336681901875394,12,0.18,1,0.8533203744461639
261635172001040,-83.0492468228711,42.33571067808072,132,4.52,1,0.9981233004161361
261635172001041,-83.0485909422235,42.334699547425394,64,2.174,1,0.9936200976371764
261635172001044,-83.04664027863424,42.33464788416857,20,0.621,1,0.18528534471988667
261635172001045,-83.04611324238944,42.33539186270997,10,0.207,1,0.18528534471988667
261635172002010,-83.03539075119157,42.33219106212203,9,0.12,1,0.34143889000000005
261635172002025,-83.04226134258045,42.33121939077466,398,11.627,1,0.9645729064941406
261635172002028,-83.04396831170946,42.33377903848262,10,0.15,1,0.18528534471988667
261635172002031,-83.04201017338794,42.335599874776285,1,0.0,1,0.8533203744461639
261635172002032,-83.0414902750188,42.334811117397834,4,0.06,1,0.8199619650840759
261635172002033,-83.03968089011762,42.33559285119004,9,0.12,1,0.8199619650840759
261635172002035,-83.03739298298183,42.33445088635051,1,0.034,1,0.34143889000000005
261635172002036,-83.03901125374054,42.333839325040735,12,0.18,1,0.34143889000000005
261635172002041,-83.04228722606733,42.33336006225068,28,1.691,1,0.9936217757024224
261635172002046,-83.04157393189807,42.332295089153256,3,0.034,1,0.9645729064941406
261635172002047,-83.0411490945902,42.33170013084377,10,0.15,1,0.9645729064941406
261635172002050,-83.03751633430349,42.33232473356217,4,0.06,1,0.34143889000000005
261635172002051,-83.0392852419696,42.331546868051824,6,0.09,1,0.34143889000000005
261635172002054,-83.04570219210405,42.33379558035936,7,0.09,1,0.18528534471988667
261635172002058,-83.044039045113,42.33208951554552,218,7.625,1,0.9786515909287345
261635172002061,-83.04539186342578,42.33095115910719,47,1.035,1,0.9786515909287345
261635172002065,-83.04361406165063,42.32969240100841,12,0.18,1,0.9786515909287345
261635172002068,-83.04254719293844,42.32837261872445,11,0.15,1,0.9645729064941406
261635173002011,-83.05328833767786,42.342711696391994,197,5.934,1,0.5098902583122253
261635173002012,-83.05255351364329,42.34172083963048,226,6.624,1,0.5098902583122253
261635173002013,-83.05042471701218,42.342635450105426,28,0.39,1,0.5098902583122253
261635173002014,-83.0498176385883,42.34177177693659,7,0.09,1,0.5098902583122253
261635173002016,-83.0520065497244,42.34094980358933,105,2.622,1,0.5098902583122253
261635207001000,-83.04879302898276,42.33328268511338,369,11.972,1,0.9936200976371764
261635207001001,-83.04945027606713,42.332902469253256,280,9.074,1,0.9936200976371764
261635207001002,-83.05024601383053,42.33309144849678,104,1.44,1,0.9936200976371764
261635207001011,-83.05024097674658,42.33209282696735,123,3.898,1,0.9936200976371764
261635207001012,-83.04915165782339,42.33204008704935,155,4.727,1,0.9936200976371764
261635207001013,-83.04794041583376,42.33220494426144,99,3.76,1,0.9961554631780966
261635207002000,-83.05122766711675,42.33630429471673,11,0.15,1,0.7058419585227966
261635207002001,-83.05026974107021,42.33524312649692,275,10.109,1,0.9981233004161361
261635207002003,-83.0517676517142,42.33524152615238,16,3.45,1,0.7058419585227966
261635207002007,-83.05258191780432,42.334304299218246,32,0.862,1,0.7058419585227966
261635207002008,-83.05345587119349,42.33468852392751,6,0.09,1,0.7058419585227966
261635207002009,-83.04946990413725,42.33430668835146,345,11.661,1,0.9936200976371764
261635207002010,-83.05033276791161,42.33413555533741,161,4.865,1,0.9936200976371764
261635207002012,-83.05167742825162,42.33414495906191,371,12.144,1,0.9981233004161361
261635207003004,-83.05438324269022,42.33759733654069,25,0.448,1,0.300391823
261635207003005,-83.05494583920095,42.33832308236716,20,2.657,1,0.300391823
261635207003009,-83.05707823836836,42.33711107652324,18,0.24,1,0.300391823
261635207003013,-83.0538973983801,42.336981835138225,15,1.173,1,0.7058419585227966
261635207003015,-83.05190436674248,42.33698927472569,206,6.313,1,0.7058419585227966
261635207003016,-83.0533815018273,42.33635184557123,118,3.933,1,0.7058419585227966
261635207004006,-83.06075400208327,42.33377337459586,8,0.12,1,0.558609128
261635207004012,-83.05474496179811,42.33376910376169,95,12.179,1,0.4090471565723419
261635207004013,-83.05431193762399,42.33306274690488,9,0.12,1,0.4090471565723419
261635207004014,-83.0537831713519,42.33223319660259,17,0.24,1,0.4090471565723419
261635207004015,-83.05604140222053,42.33220866797374,273,10.557,1,0.4090471565723419
261635208001002,-83.04843935373036,42.33085146993896,18,0.552,1,0.9961554631780966
261635208001006,-83.05151195576401,42.33102265346693,2,0.069,1,0.4090471565723419
261635208001015,-83.05239434471856,42.330290693416536,13,0.18,1,0.4090471565723419
261635208001017,-83.05062515168197,42.32991314092449,7,2.001,1,0.613275945
261635208001020,-83.04773036112991,42.32997357933567,2,0.034,1,0.39739879965782166
261635208001024,-83.04599397847561,42.32961186239214,4,0.069,1,0.39739879965782166
261635208001025,-83.04706963407106,42.329149831798254,28,0.39,1,0.39739879965782166
261635208001028,-83.04542771507218,42.328874680101016,50,0.69,1,0.39739879965782166
261635208001034,-83.0510290771848,42.32855719634414,2,0.069,1,0.613275945
261635208001036,-83.04944480551374,42.325839846702024,8,0.12,1,0.613275945
261635208001054,-83.05295001967511,42.32890877494407,44,1.898,1,0.613275945
261635208001058,-83.05955104609733,42.32910333572827,2,0.173,1,0.6791759729385376
261635208001072,-83.0588903015378,42.32635321233654,21,0.3,1,0.6791759729385376
261635208001073,-83.06017048698664,42.32580336221407,25,1.759,1,0.6791759729385376
261635208001079,-83.04670016089307,42.327881456864894,1,0.0,1,0.39739879965782166
261635208001082,-83.05341851158212,42.32752228527603,9,0.12,1,0.613275945
261635214002003,-83.0638372547825,42.332478819102285,8,0.311,1,0.9855029582977296
261635214002007,-83.06276009335055,42.33114195875098,15,0.21,1,0.9855029582977296
261635214002008,-83.06326172566266,42.331790944070654,12,0.18,1,0.9855029582977296
261635214002009,-83.06485052162321,42.33197753010205,91,2.588,1,0.9855029582977296
261635214002012,-83.06401418417131,42.33067617973449,17,0.24,1,0.9855029582977296
