id,angle,latitude,longitude,prediction,id2,prob,x,y
1076,270,42.34281520188732,-83.037556,1.0,1076.27,0.9896538853645324,-83.037556,42.34281520188732
1164,-90,42.33224806681799,-83.04970677,1.0,1163.91,0.6742258667945862,-83.04970677,42.33224806681799
1185,225,42.33084030015581,-83.04292643,1.0,1185.225,0.9645729064941406,-83.04292643,42.33084030015581
1203,315,42.332118775819296,-83.03701366,1.0,1203.315,0.7209916710853577,-83.03701366,42.332118775819296
1274,315,42.33691155683514,-83.03532654,1.0,1274.315,0.9529364109039308,-83.03532654,42.33691155683514
1313,180,42.33517700000427,-83.05947123,1.0,1313.18,0.558609128,-83.05947123,42.33517700000427
236,225,42.33044759602124,-83.04718164,1.0,236.225,0.9864245653152466,-83.04718164,42.33044759602124
252,135,42.33584879149026,-83.04665203,1.0,252.135,0.9774863719940186,-83.04665203,42.33584879149026
295,-45,42.33507195186705,-83.04218397,1.0,294.955,0.871997058,-83.04218397,42.33507195186705
441,135,42.32729201119888,-83.05805846,1.0,441.135,0.6791759729385376,-83.05805846,42.32729201119888
572,315,42.33040263240072,-83.06344193,1.0,572.315,0.927314043,-83.06344193,42.33040263240072
680,-45,42.32805562677436,-83.05078464,1.0,679.955,0.613275945,-83.05078464,42.32805562677436
690,180,42.33895968620808,-83.05743385,1.0,690.18,0.6623005867004395,-83.05743385,42.33895968620808
740,-45,42.34289426,-83.0513449,1.0,739.955,0.6358917951583862,-83.0513449,42.34289426
77,405,42.3365178,-83.0526256,1.0,77.405,0.6824033260345459,-83.0526256,42.3365178
806,180,42.34261474362411,-83.06067659,1.0,806.18,0.9242833256721495,-83.06067659,42.34261474362411
812,180,42.33936078321331,-83.06123117,1.0,812.18,0.5962178707122803,-83.06123117,42.33936078321331
852,225,42.331976751703095,-83.05449331,1.0,852.225,0.770340621,-83.05449331,42.331976751703095
